"ProteinID","C1_1","C1_2","C2_1","C2_2","C3_1","C3_2","C4_1","C4_2","Log2(Int) C1_1","Log2(Int) C1_2","Log2(Int) C2_1","Log2(Int) C2_2","Log2(Int) C3_1","Log2(Int) C3_2","Log2(Int) C4_1","Log2(Int) C4_2","Mean intensity C1","Mean intensity C2","Mean intensity C3","Mean intensity C4","Condition_1_SD","Condition_2_SD","Condition_3_SD","Condition_4_SD","Condition_1_CV","Condition_2_CV","Condition_3_CV","Condition_4_CV","qValue C2","qValue C3","qValue C4","Log2 intensity C1","Log2 intensity C2","Log2 intensity C3","Log2 intensity C4","Z-Score C1","Z-Score C2","Z-Score C3","Z-Score C4","Ratio C2/C1","Ratio C3/C1","Ratio C4/C1","Fold change C2/C1","Fold change C3/C1","Fold change C4/C1","Log2(ratio) C2/C1","Log2(ratio) C3/C1","Log2(ratio) C4/C1"
"Q8BKC8",55000,56000,59000,59000,59000,59000,61000,63000,15.75,15.77,15.85,15.85,15.85,15.85,15.9,15.94,55500,59000,59000,62000,707,0,0,1410,1.274,0,0,2.281,0.38266,0.08911,0.00266,15.76,15.848,15.848,15.92,-1.285,0.064,0.064,1.158,1.063,1.063,1.117,1.063,1.063,1.117,0.088,0.088,0.16
"O88907",55000,58000,60000,58000,62000,62000,64000,64000,15.75,15.82,15.87,15.82,15.92,15.92,15.97,15.97,56500,59000,62000,64000,2120,1410,0,0,3.755,2.397,0,0,0.59947,0.05526,0.00409,15.786,15.848,15.92,15.966,-1.188,-0.399,0.505,1.083,1.044,1.097,1.133,1.044,1.097,1.133,0.062,0.134,0.18
"Q8C5D8",47000,49000,48000,47000,49000,50000,50000,50000,15.52,15.58,15.55,15.52,15.58,15.61,15.61,15.61,48000,47500,49500,50000,1410,707,707,0,2.946,1.489,1.428,0,0.89317,0.4025,0.08096,15.551,15.536,15.595,15.61,-0.626,-1.055,0.634,1.046,0.99,1.031,1.042,-1.01,1.031,1.042,-0.014,0.044,0.059
"Q9JM05",30000,26000,34000,30000,31000,30000,37000,34000,14.87,14.67,15.05,14.87,14.92,14.87,15.18,15.05,28000,32000,30500,35500,2830,2830,707,2120,10.1,8.839,2.318,5.976,0.55032,0.42043,0.01252,14.773,14.966,14.897,15.116,-1.153,0.196,-0.289,1.245,1.143,1.089,1.268,1.143,1.089,1.268,0.193,0.123,0.343
"E9Q6K3",35000,37000,36000,34000,35000,36000,36000,37000,15.1,15.18,15.14,15.05,15.1,15.14,15.14,15.18,36000,35000,35500,36500,1410,1410,707,707,3.928,4.041,1.992,1.937,0.73612,0.81363,0.33856,15.136,15.095,15.116,15.156,0.393,-1.167,-0.382,1.156,0.972,0.986,1.014,-1.029,-1.014,1.014,-0.041,-0.02,0.02
"Q7M6Y3",74000,71000,79000,73000,92000,89000,86000,86000,16.18,16.12,16.27,16.16,16.49,16.44,16.39,16.39,72500,76000,90500,86000,2120,4240,2120,0,2.926,5.582,2.344,0,0.63912,0.00955,0.00364,16.146,16.214,16.466,16.392,-1.06,-0.606,1.079,0.587,1.048,1.248,1.186,1.048,1.248,1.186,0.068,0.32,0.246
"Q7M6Y3-2",74000,71000,79000,73000,93000,89000,86000,86000,16.18,16.12,16.27,16.16,16.5,16.44,16.39,16.39,72500,76000,91000,86000,2120,4240,2830,0,2.926,5.582,3.108,0,0.63912,0.00977,0.0041,16.146,16.214,16.474,16.392,-1.053,-0.607,1.098,0.563,1.048,1.255,1.186,1.048,1.255,1.186,0.068,0.328,0.246
"Q9JJQ0",12000,10000,9700,12000,11000,11000,13000,11000,13.55,13.29,13.24,13.55,13.43,13.43,13.67,13.43,11000,10850,11000,12000,1410,1630,0,1410,12.86,14.99,0,11.79,1,1,0.23045,13.425,13.405,13.425,13.551,-0.396,-0.693,-0.396,1.485,0.986,1,1.091,-1.014,1,1.091,-0.02,0,0.126
"Q9CXY9",1e+05,97000,110000,94000,98000,99000,110000,110000,16.61,16.57,16.75,16.52,16.58,16.6,16.75,16.75,98500,102000,98500,110000,2120,11300,707,0,2.154,11.09,0.7179,0,0.83801,1,0.05697,16.588,16.638,16.588,16.747,-0.698,-0.027,-0.698,1.423,1.036,1,1.117,1.036,1,1.117,0.051,0,0.16
"Q8C2R7",14000,12000,15000,13000,14000,15000,13000,13000,13.77,13.55,13.87,13.67,13.77,13.87,13.67,13.67,13000,14000,14500,13000,1410,1410,707,0,10.88,10.1,4.877,0,0.69507,0.33152,0.46318,13.666,13.773,13.824,13.666,-0.836,0.516,1.156,-0.836,1.077,1.115,1,1.077,1.115,1,0.107,0.157,0
"Q562G0",39000,38000,38000,40000,36000,36000,45000,45000,15.25,15.21,15.21,15.29,15.14,15.14,15.46,15.46,38500,39000,36000,45000,707,1410,0,0,1.837,3.626,0,0,0.86416,0.11377,0.00154,15.233,15.251,15.136,15.458,-0.271,-0.134,-0.987,1.391,1.013,0.935,1.169,1.013,-1.07,1.169,0.019,-0.097,0.225
"Q9JJI6",44000,44000,44000,45000,42000,41000,54000,52000,15.43,15.43,15.43,15.46,15.36,15.32,15.72,15.67,44000,44500,41500,53000,0,707,707,1410,0,1.589,1.704,2.668,0.87381,0.13039,0.00063,15.425,15.442,15.341,15.694,-0.329,-0.222,-0.884,1.436,1.011,0.943,1.205,1.011,-1.06,1.205,0.016,-0.085,0.269
"Q9QYT7",26000,25000,28000,26000,26000,25000,25000,24000,14.67,14.61,14.77,14.67,14.67,14.61,14.61,14.55,25500,27000,25500,24500,707,1410,707,707,2.773,5.238,2.773,2.886,0.62442,1,0.17451,14.638,14.721,14.638,14.58,-0.107,1.323,-0.107,-1.108,1.059,1,0.961,1.059,1,-1.041,0.083,0,-0.057
"Q6PD26",89000,88000,91000,87000,90000,91000,92000,92000,16.44,16.43,16.47,16.41,16.46,16.47,16.49,16.49,88500,89000,90500,92000,707,2830,707,0,0.799,3.178,0.7813,0,0.98251,0.5385,0.08547,16.433,16.442,16.466,16.489,-0.953,-0.631,0.323,1.261,1.006,1.023,1.04,1.006,1.023,1.04,0.009,0.033,0.057
"Q8BXQ2",78000,76000,79000,75000,81000,79000,81000,81000,16.25,16.21,16.27,16.19,16.31,16.27,16.31,16.31,77000,77000,80000,81000,1410,2830,1410,0,1.837,3.673,1.768,0,1,0.35815,0.06588,16.233,16.233,16.288,16.306,-0.85,-0.85,0.612,1.087,1,1.039,1.052,1,1.039,1.052,0,0.055,0.073
"Q8K358",70000,68000,70000,67000,76000,77000,93000,90000,16.1,16.05,16.1,16.03,16.21,16.23,16.5,16.46,69000,68500,76500,91500,1410,2120,707,2120,2.05,3.097,0.9243,2.318,0.96067,0.04127,0.00023,16.074,16.064,16.223,16.481,-0.701,-0.755,0.064,1.391,0.993,1.109,1.326,-1.007,1.109,1.326,-0.01,0.149,0.407
"Q8C398",20000,18000,18000,20000,19000,19000,23000,21000,14.29,14.14,14.14,14.29,14.21,14.21,14.49,14.36,19000,19000,19000,22000,1410,1410,0,1410,7.443,7.443,0,6.428,1,1,0.03281,14.214,14.214,14.214,14.425,-0.5,-0.5,-0.5,1.5,1,1,1.158,1,1,1.158,0,0,0.212
"Q9CQJ2",44000,45000,46000,42000,45000,45000,62000,61000,15.43,15.46,15.49,15.36,15.46,15.46,15.92,15.9,44500,44000,45000,61500,707,2830,0,707,1.589,6.428,0,1.15,0.92891,0.86755,0.00036,15.442,15.425,15.458,15.908,-0.499,-0.569,-0.43,1.498,0.989,1.011,1.382,-1.011,1.011,1.382,-0.016,0.016,0.467
"Q61194",42000,42000,42000,40000,43000,43000,46000,46000,15.36,15.36,15.36,15.29,15.39,15.39,15.49,15.49,42000,41000,43000,46000,0,1410,0,0,0,3.449,0,0,0.68741,0.52555,0.00777,15.358,15.323,15.392,15.489,-0.456,-0.942,0.019,1.38,0.976,1.024,1.095,-1.025,1.024,1.095,-0.035,0.034,0.131
"Q6PF93",120000,120000,130000,120000,120000,120000,120000,120000,16.87,16.87,16.99,16.87,16.87,16.87,16.87,16.87,120000,125000,120000,120000,0,7070,0,0,0,5.657,0,0,0.63912,1,0.46318,16.873,16.932,16.873,16.873,-0.5,1.5,-0.5,-0.5,1.042,1,1,1.042,1,1,0.059,0,0
"P42337",33000,34000,33000,32000,35000,34000,35000,34000,15.01,15.05,15.01,14.97,15.1,15.05,15.1,15.05,33500,32500,34500,34500,707,707,707,707,2.111,2.176,2.05,2.05,0.65392,0.46567,0.16265,15.032,14.988,15.074,15.074,-0.25,-1.311,0.78,0.78,0.97,1.03,1.03,-1.031,1.03,1.03,-0.044,0.043,0.043
"Q8BTI9",160000,150000,150000,140000,140000,150000,130000,130000,17.29,17.19,17.19,17.1,17.1,17.19,16.99,16.99,155000,145000,145000,130000,7070,7070,7070,0,4.562,4.877,4.877,0,0.60497,0.303,0.00594,17.242,17.146,17.146,16.988,1.061,0.146,0.146,-1.353,0.935,0.935,0.839,-1.07,-1.07,-1.192,-0.097,-0.097,-0.253
"O35904",190000,190000,190000,180000,170000,180000,150000,150000,17.54,17.54,17.54,17.46,17.38,17.46,17.19,17.19,190000,185000,175000,150000,0,7070,7070,0,0,3.822,4.041,0,0.7243,0.1094,0.00068,17.536,17.497,17.417,17.195,0.816,0.564,0.039,-1.419,0.974,0.921,0.789,-1.027,-1.086,-1.267,-0.038,-0.119,-0.342
"Q3T9Y0",190000,190000,190000,180000,170000,180000,150000,150000,17.54,17.54,17.54,17.46,17.38,17.46,17.19,17.19,190000,185000,175000,150000,0,7070,7070,0,0,3.822,4.041,0,0.7243,0.1094,0.00068,17.536,17.497,17.417,17.195,0.816,0.564,0.039,-1.419,0.974,0.921,0.789,-1.027,-1.086,-1.267,-0.038,-0.119,-0.342
"Q9JHG7",40000,39000,39000,40000,35000,35000,27000,27000,15.29,15.25,15.25,15.29,15.1,15.1,14.72,14.72,39500,39500,35000,27000,707,707,0,0,1.79,1.79,0,0,1,0.0119,5e-05,15.27,15.27,15.095,14.721,0.699,0.699,0.025,-1.422,1,0.886,0.684,1,-1.129,-1.462,0,-0.175,-0.548
"P26450",120000,120000,120000,110000,110000,110000,95000,96000,16.87,16.87,16.87,16.75,16.75,16.75,16.54,16.55,120000,115000,110000,95500,0,7070,0,707,0,6.149,0,0.7404,0.63912,0.11561,0.00103,16.873,16.811,16.747,16.543,0.902,0.473,0.025,-1.4,0.958,0.917,0.796,-1.044,-1.091,-1.256,-0.062,-0.125,-0.329
"O08908",88000,90000,85000,77000,77000,86000,69000,71000,16.43,16.46,16.38,16.23,16.23,16.39,16.07,16.12,89000,81000,81500,70000,1410,5660,6360,1410,1.589,6.984,7.809,2.02,0.57276,0.27321,0.0044,16.442,16.306,16.315,16.095,1.061,0.115,0.176,-1.352,0.91,0.916,0.787,-1.099,-1.092,-1.271,-0.136,-0.127,-0.346
"Q8VD65",110000,1e+05,110000,99000,1e+05,1e+05,110000,110000,16.75,16.61,16.75,16.6,16.61,16.61,16.75,16.75,105000,104500,1e+05,110000,7070,7780,0,0,6.734,7.443,0,0,1,0.5378,0.19672,16.68,16.673,16.61,16.747,0.045,-0.077,-1.207,1.239,0.995,0.952,1.048,-1.005,-1.05,1.048,-0.007,-0.071,0.068
"Q5SW28",28000,28000,21000,27000,24000,25000,23000,20000,14.77,14.77,14.36,14.72,14.55,14.61,14.49,14.29,28000,24000,24500,21500,0,4240,707,2120,0,17.68,2.886,9.867,0.58897,0.36883,0.0236,14.773,14.551,14.58,14.392,1.273,-0.149,0.041,-1.164,0.857,0.875,0.768,-1.167,-1.143,-1.302,-0.223,-0.193,-0.381
"Q9Z1T6",72000,70000,74000,69000,77000,76000,79000,76000,16.14,16.1,16.18,16.07,16.23,16.21,16.27,16.21,71000,71500,76500,77500,1410,3540,707,2120,1.992,4.945,0.9243,2.737,0.99817,0.15536,0.02653,16.116,16.126,16.223,16.242,-0.936,-0.781,0.715,1.002,1.007,1.077,1.092,1.007,1.077,1.092,0.01,0.107,0.127
"Q9CWW6",53000,52000,37000,53000,52000,53000,66000,63000,15.69,15.67,15.18,15.69,15.67,15.69,16.01,15.94,52500,45000,52500,64500,707,11300,707,2120,1.347,25.14,1.347,3.289,0.6367,1,0.08071,15.68,15.458,15.68,15.977,-0.087,-1.131,-0.087,1.306,0.857,1,1.229,-1.167,1,1.229,-0.223,0,0.297
"O70172",160000,150000,150000,150000,140000,150000,130000,120000,17.29,17.19,17.19,17.19,17.1,17.19,16.99,16.87,155000,150000,145000,125000,7070,0,7070,7070,4.562,0,4.877,5.657,0.77357,0.326,0.00341,17.242,17.195,17.146,16.932,0.828,0.483,0.126,-1.437,0.968,0.935,0.806,-1.033,-1.07,-1.241,-0.047,-0.097,-0.311
"Q80XI4",150000,140000,150000,140000,140000,140000,120000,120000,17.19,17.1,17.19,17.1,17.1,17.1,16.87,16.87,145000,145000,140000,120000,7070,7070,0,0,4.877,4.877,0,0,1,0.54154,0.00275,17.146,17.146,17.095,16.873,0.621,0.621,0.232,-1.475,1,0.966,0.828,1,-1.035,-1.208,0,-0.05,-0.272
"Q91XU3",73000,75000,71000,72000,80000,78000,81000,78000,16.16,16.19,16.12,16.14,16.29,16.25,16.31,16.25,74000,71500,79000,79500,1410,707,1410,2120,1.911,0.989,1.79,2.668,0.63912,0.11346,0.02077,16.175,16.126,16.27,16.279,-0.499,-1.166,0.771,0.893,0.966,1.068,1.074,-1.035,1.068,1.074,-0.05,0.095,0.103
"O70161",42000,43000,42000,42000,53000,50000,56000,55000,15.36,15.39,15.36,15.36,15.69,15.61,15.77,15.75,42500,42000,51500,55500,707,0,2120,707,1.664,0,4.119,1.274,0.89405,0.00675,0.00029,15.375,15.358,15.652,15.76,-0.802,-0.887,0.576,1.113,0.988,1.212,1.306,-1.012,1.212,1.306,-0.017,0.277,0.385
"Q8BWR2",95000,90000,82000,94000,95000,94000,93000,98000,16.54,16.46,16.32,16.52,16.54,16.52,16.5,16.58,92500,88000,94500,95500,3540,8490,707,3540,3.822,9.642,0.7483,3.702,0.70346,0.8146,0.28758,16.497,16.425,16.528,16.543,-0.024,-1.396,0.565,0.855,0.951,1.022,1.032,-1.052,1.022,1.032,-0.072,0.031,0.045
"P53810",190000,190000,190000,190000,190000,190000,180000,180000,17.54,17.54,17.54,17.54,17.54,17.54,17.46,17.46,190000,190000,190000,180000,0,0,0,0,0,0,0,0,1,1,0.01611,17.536,17.536,17.536,17.458,0.5,0.5,0.5,-1.5,1,1,0.947,1,1,-1.056,0,0,-0.079
"Q8K4R4-2",83000,79000,86000,78000,75000,78000,66000,68000,16.34,16.27,16.39,16.25,16.19,16.25,16.01,16.05,81000,82000,76500,67000,2830,5660,2120,1410,3.492,6.899,2.773,2.111,0.96345,0.38734,0.00488,16.306,16.323,16.223,16.032,0.634,0.767,0.016,-1.417,1.012,0.944,0.827,1.012,-1.059,-1.209,0.017,-0.083,-0.274
"Q8K4R4",79000,79000,89000,82000,76000,80000,66000,64000,16.27,16.27,16.44,16.32,16.21,16.29,16.01,15.97,79000,85500,78000,65000,0,4950,2830,1410,0,5.789,3.626,2.176,0.51682,0.84781,0.00271,16.27,16.384,16.251,15.988,0.278,0.96,0.168,-1.405,1.082,0.987,0.823,1.082,-1.013,-1.215,0.114,-0.019,-0.281
"O35954",87000,86000,87000,91000,86000,86000,70000,71000,16.41,16.39,16.41,16.47,16.39,16.39,16.1,16.12,86500,89000,86000,70500,707,2830,0,707,0.8175,3.178,0,1.003,0.64676,0.90764,0.00042,16.4,16.442,16.392,16.105,0.424,0.69,0.37,-1.485,1.029,0.994,0.815,1.029,-1.006,-1.227,0.041,-0.009,-0.295
"Q6ZPQ6",31000,31000,26000,29000,29000,28000,26000,27000,14.92,14.92,14.67,14.82,14.82,14.77,14.67,14.72,31000,27500,28500,26500,0,2120,707,707,0,7.714,2.481,2.668,0.40292,0.21019,0.00956,14.92,14.747,14.799,14.694,1.345,-0.442,0.091,-0.994,0.887,0.919,0.855,-1.127,-1.088,-1.17,-0.173,-0.122,-0.226
"Q8K411",150000,140000,130000,150000,170000,160000,190000,190000,17.19,17.1,16.99,17.19,17.38,17.29,17.54,17.54,145000,140000,165000,190000,7070,14100,7070,0,4.877,10.1,4.285,0,0.81949,0.16133,0.00407,17.146,17.095,17.332,17.536,-0.656,-0.909,0.275,1.291,0.966,1.138,1.31,-1.035,1.138,1.31,-0.05,0.187,0.39
"O55176",21000,17000,19000,17000,20000,21000,23000,23000,14.36,14.05,14.21,14.05,14.29,14.36,14.49,14.49,19000,18000,20500,23000,2830,1410,707,0,14.89,7.857,3.449,0,0.82423,0.52715,0.03479,14.214,14.136,14.323,14.489,-0.501,-1.01,0.214,1.297,0.947,1.079,1.211,-1.056,1.079,1.211,-0.079,0.11,0.276
"P53657",170000,170000,160000,160000,170000,170000,170000,2e+05,17.38,17.38,17.29,17.29,17.38,17.38,17.38,17.61,170000,160000,170000,185000,0,0,0,21200,0,0,0,11.47,0.67743,1,0.11079,17.375,17.288,17.375,17.497,-0.1,-1.116,-0.1,1.317,0.941,1,1.088,-1.063,1,1.088,-0.088,0,0.122
"P52480",540000,540000,490000,530000,550000,560000,6e+05,580000,19.04,19.04,18.9,19.02,19.07,19.1,19.19,19.15,540000,510000,555000,590000,0,28300,7070,14100,0,5.546,1.274,2.397,0.57999,0.59772,0.02675,19.043,18.96,19.082,19.17,-0.243,-1.187,0.21,1.22,0.944,1.028,1.093,-1.059,1.028,1.093,-0.083,0.04,0.128
"P52480-2",540000,530000,480000,530000,550000,560000,6e+05,590000,19.04,19.02,18.87,19.02,19.07,19.1,19.19,19.17,535000,505000,555000,595000,7070,35400,7070,7070,1.322,7.001,1.274,1.188,0.61903,0.5367,0.02288,19.029,18.946,19.082,19.183,-0.31,-1.15,0.224,1.237,0.944,1.037,1.112,-1.059,1.037,1.112,-0.083,0.052,0.153
"Q9ESG9",13000,15000,12000,11000,14000,15000,16000,17000,13.67,13.87,13.55,13.43,13.77,13.87,13.97,14.05,14000,11500,14500,16500,1410,707,707,707,10.1,6.149,4.877,4.285,0.37353,0.72515,0.02921,13.773,13.489,13.824,14.01,-0.004,-1.322,0.23,1.096,0.821,1.036,1.179,-1.218,1.036,1.179,-0.285,0.051,0.238
"P70268",110000,1e+05,110000,1e+05,94000,97000,80000,80000,16.75,16.61,16.75,16.61,16.52,16.57,16.29,16.29,105000,105000,95500,80000,7070,7070,2120,0,6.734,6.734,2.221,0,1,0.21378,0.00211,16.68,16.68,16.543,16.288,0.715,0.715,-0.025,-1.406,1,0.91,0.762,1,-1.099,-1.312,0,-0.136,-0.392
"Q8BWW9",96000,85000,82000,86000,96000,95000,89000,96000,16.55,16.38,16.32,16.39,16.55,16.54,16.44,16.55,90500,84000,95500,92500,7780,2830,707,4950,8.595,3.367,0.7404,5.351,0.63912,0.49777,0.33169,16.466,16.358,16.543,16.497,-0.005,-1.372,0.981,0.396,0.928,1.055,1.022,-1.078,1.055,1.022,-0.108,0.077,0.031
"O70477",90000,61000,110000,90000,110000,1e+05,54000,75000,16.46,15.9,16.75,16.46,16.75,16.61,15.72,16.19,75500,1e+05,105000,64500,20500,14100,7070,14800,27.16,14.14,6.734,23.02,0.60003,0.22082,0.22531,16.204,16.61,16.68,15.977,-0.489,0.723,0.934,-1.168,1.325,1.391,0.854,1.325,1.391,-1.171,0.406,0.476,-0.228
"Q8VEB4",35000,35000,34000,32000,32000,32000,31000,30000,15.1,15.1,15.05,14.97,14.97,14.97,14.92,14.87,35000,33000,32000,30500,0,1410,0,707,0,4.285,0,2.318,0.51846,0.07145,0.00352,15.095,15.01,14.966,14.897,1.24,0.22,-0.314,-1.147,0.943,0.914,0.871,-1.06,-1.094,-1.148,-0.085,-0.13,-0.199
"Q8R3U1",50000,51000,53000,50000,48000,51000,67000,67000,15.61,15.64,15.69,15.61,15.55,15.64,16.03,16.03,50500,51500,49500,67000,707,2120,2120,0,1.4,4.119,4.285,0,0.83801,0.70433,0.00045,15.624,15.652,15.595,16.032,-0.496,-0.358,-0.636,1.49,1.02,0.98,1.327,1.02,-1.02,1.327,0.029,-0.029,0.408
"Q60963",12000,12000,12000,12000,11000,12000,11000,10000,13.55,13.55,13.55,13.55,13.43,13.55,13.43,13.29,12000,12000,11500,10500,0,0,707,707,0,0,6.149,6.734,1,0.54068,0.01918,13.551,13.551,13.489,13.358,0.699,0.699,0.023,-1.422,1,0.958,0.875,1,-1.044,-1.143,0,-0.062,-0.193
"P27612",160000,160000,160000,140000,150000,160000,160000,160000,17.29,17.29,17.29,17.1,17.19,17.29,17.29,17.29,160000,150000,155000,160000,0,14100,7070,0,0,9.428,4.562,0,0.63912,0.69867,0.46318,17.288,17.195,17.242,17.288,0.78,-1.312,-0.249,0.78,0.938,0.969,1,-1.066,-1.032,1,-0.092,-0.045,0
"P35456",13000,12000,12000,13000,18000,16000,18000,17000,13.67,13.55,13.55,13.67,14.14,13.97,14.14,14.05,12500,12500,17000,17500,707,707,1410,707,5.657,5.657,8.319,4.041,1,0.01696,0.00198,13.61,13.61,14.053,14.095,-0.864,-0.864,0.786,0.942,1,1.36,1.4,1,1.36,1.4,0,0.444,0.485
"Q8VCI0",44000,45000,46000,45000,40000,41000,36000,37000,15.43,15.46,15.49,15.46,15.29,15.32,15.14,15.18,44500,45500,40500,36500,707,707,707,707,1.589,1.554,1.746,1.937,0.70624,0.03597,0.00047,15.442,15.474,15.306,15.156,0.671,0.892,-0.265,-1.298,1.022,0.91,0.82,1.022,-1.099,-1.22,0.031,-0.136,-0.286
"Q3TCN2",79000,79000,79000,73000,88000,85000,110000,110000,16.27,16.27,16.27,16.16,16.43,16.38,16.75,16.75,79000,76000,86500,110000,0,4240,2120,0,0,5.582,2.452,0,0.64837,0.10287,0.00027,16.27,16.214,16.4,16.747,-0.577,-0.81,-0.03,1.418,0.962,1.095,1.392,-1.04,1.095,1.392,-0.056,0.131,0.477
"A3KGF7",80000,81000,65000,78000,72000,74000,64000,63000,16.29,16.31,15.99,16.25,16.14,16.18,15.97,15.94,80500,71500,73000,63500,707,9190,1410,707,0.8784,12.86,1.937,1.114,0.54672,0.3144,0.00853,16.297,16.126,16.156,15.954,1.164,-0.053,0.16,-1.271,0.888,0.907,0.789,-1.126,-1.103,-1.267,-0.171,-0.141,-0.342
"P51432",31000,32000,24000,31000,31000,31000,31000,31000,14.92,14.97,14.55,14.92,14.92,14.92,14.92,14.92,31500,27500,31000,31000,707,4950,0,0,2.245,18,0,0,0.58908,0.9452,0.41311,14.943,14.747,14.92,14.92,0.666,-1.489,0.412,0.412,0.873,0.984,0.984,-1.145,-1.016,-1.016,-0.196,-0.023,-0.023
"Q62077",170000,170000,160000,160000,160000,160000,140000,140000,17.38,17.38,17.29,17.29,17.29,17.29,17.1,17.1,170000,160000,160000,140000,0,0,0,0,0,0,0,0,0.30033,0.0534,0.00018,17.375,17.288,17.288,17.095,0.961,0.222,0.222,-1.406,0.941,0.941,0.824,-1.063,-1.063,-1.214,-0.088,-0.088,-0.279
"Q8CIH5",41000,40000,39000,44000,37000,37000,36000,35000,15.32,15.29,15.25,15.43,15.18,15.18,15.14,15.1,40500,41500,37000,35500,707,3540,0,707,1.746,8.519,0,1.992,0.85941,0.19766,0.01938,15.306,15.341,15.175,15.116,0.67,1,-0.555,-1.115,1.025,0.914,0.877,1.025,-1.094,-1.14,0.036,-0.13,-0.189
"Q3USB7",45000,46000,48000,45000,48000,47000,42000,40000,15.46,15.49,15.55,15.46,15.55,15.52,15.36,15.29,45500,46500,47500,41000,707,2120,707,1410,1.554,4.562,1.489,3.449,0.81812,0.39883,0.0157,15.474,15.505,15.536,15.323,0.151,0.484,0.81,-1.445,1.022,1.044,0.901,1.022,1.044,-1.11,0.031,0.062,-0.15
"Q8K394",74000,74000,51000,73000,72000,72000,73000,73000,16.18,16.18,15.64,16.16,16.14,16.14,16.16,16.16,74000,62000,72000,73000,0,15600,0,0,0,25.09,0,0,0.59926,0.91726,0.43742,16.175,15.92,16.136,16.156,0.661,-1.486,0.329,0.496,0.838,0.973,0.986,-1.193,-1.028,-1.014,-0.255,-0.039,-0.02
"Q9Z280",11000,8400,11000,9900,12000,12000,13000,13000,13.43,13.04,13.43,13.27,13.55,13.55,13.67,13.67,9700,10450,12000,13000,1840,778,0,0,18.95,7.443,0,0,0.72989,0.15005,0.01592,13.244,13.351,13.551,13.666,-1.097,-0.534,0.512,1.118,1.077,1.237,1.34,1.077,1.237,1.34,0.107,0.307,0.422
"O35405",89000,90000,90000,83000,95000,91000,97000,99000,16.44,16.46,16.46,16.34,16.54,16.47,16.57,16.6,89500,86500,93000,98000,707,4950,2830,1410,0.7901,5.722,3.041,1.443,0.69906,0.49032,0.02949,16.45,16.4,16.505,16.58,-0.443,-1.08,0.273,1.25,0.966,1.039,1.095,-1.035,1.039,1.095,-0.05,0.055,0.131
"Q8BG07",29000,29000,28000,28000,24000,26000,23000,21000,14.82,14.82,14.77,14.77,14.55,14.67,14.49,14.36,29000,28000,25000,22000,0,0,1410,1410,0,0,5.657,6.428,0.74417,0.05592,0.00129,14.824,14.773,14.61,14.425,0.921,0.64,-0.268,-1.292,0.966,0.862,0.759,-1.035,-1.16,-1.318,-0.05,-0.214,-0.398
"Q9QXS1-10",180000,180000,2e+05,180000,170000,170000,140000,140000,17.46,17.46,17.61,17.46,17.38,17.38,17.1,17.1,180000,190000,170000,140000,0,14100,0,0,0,7.443,0,0,0.63912,0.33646,0.00122,17.458,17.536,17.375,17.095,0.478,0.884,0.048,-1.41,1.056,0.944,0.778,1.056,-1.059,-1.285,0.079,-0.083,-0.362
"Q9QXS1-3",180000,180000,2e+05,180000,170000,170000,140000,140000,17.46,17.46,17.61,17.46,17.38,17.38,17.1,17.1,180000,190000,170000,140000,0,14100,0,0,0,7.443,0,0,0.63912,0.33646,0.00122,17.458,17.536,17.375,17.095,0.478,0.884,0.048,-1.41,1.056,0.944,0.778,1.056,-1.059,-1.285,0.079,-0.083,-0.362
"Q9JHK5",9200,9300,10000,11000,8800,9400,11000,9100,13.17,13.18,13.29,13.43,13.1,13.2,13.43,13.15,9250,10500,9100,10050,70.7,707,424,1340,0.7644,6.734,4.662,13.37,0.5889,0.92011,0.17899,13.175,13.358,13.152,13.295,-0.711,1.153,-0.951,0.509,1.135,0.984,1.086,1.135,-1.016,1.086,0.183,-0.023,0.119
"Q8BUL6",47000,47000,39000,46000,49000,50000,51000,52000,15.52,15.52,15.25,15.49,15.58,15.61,15.64,15.67,47000,42500,49500,51500,0,4950,707,707,0,11.65,1.428,1.373,0.57178,0.56099,0.09368,15.52,15.375,15.595,15.652,-0.128,-1.339,0.495,0.972,0.904,1.053,1.096,-1.106,1.053,1.096,-0.146,0.075,0.132
"Q8BUL6-2",43000,44000,37000,44000,48000,48000,48000,49000,15.39,15.43,15.18,15.43,15.55,15.55,15.55,15.58,43500,40500,48000,48500,707,4950,0,707,1.626,12.22,0,1.458,0.63912,0.28922,0.07141,15.409,15.306,15.551,15.566,-0.396,-1.23,0.753,0.874,0.931,1.103,1.115,-1.074,1.103,1.115,-0.103,0.141,0.157
"Q9ERS5",1e+05,95000,86000,99000,94000,93000,92000,92000,16.61,16.54,16.39,16.6,16.52,16.5,16.49,16.49,97500,92500,93500,92000,3540,9190,707,0,3.626,9.938,0.7563,0,0.68419,0.60807,0.16707,16.573,16.497,16.513,16.489,1.45,-0.551,-0.142,-0.757,0.949,0.959,0.944,-1.054,-1.043,-1.059,-0.076,-0.06,-0.083
"Q9ERS4",23000,25000,24000,21000,26000,28000,33000,33000,14.49,14.61,14.55,14.36,14.67,14.77,15.01,15.01,24000,22500,27000,33000,1410,2120,1410,0,5.893,9.428,5.238,0,0.6716,0.2038,0.00244,14.551,14.458,14.721,15.01,-0.552,-0.936,0.148,1.341,0.938,1.125,1.375,-1.066,1.125,1.375,-0.092,0.17,0.459
